구분,대여소번호,대여소명,위도,경도,거치대수
마포구,101,101. (구)합정동 주민센터,37.549561,126.905754,5
마포구,102,102. 망원역 1번출구 앞,37.556,126.910454,20
마포구,103,103. 망원역 2번출구 앞,37.554951,126.910835,14
마포구,104,104. 합정역 1번출구 앞,37.550629,126.914986,13
마포구,105,105. 합정역 5번출구 앞,37.550007,126.914825,5
마포구,106,106. 합정역 7번출구 앞,37.548645,126.912827,10
마포구,107,107. 신한은행 서교동금융센터점 앞,37.55751,126.918503,5
마포구,108,108. 서교동 사거리,37.552746,126.918617,10
마포구,109,109. 제일빌딩 앞,37.547691,126.919983,10
서대문구,110,110. 사천교,37.568199,126.917847,20
마포구,111,111. 상수역 2번출구 앞,37.547871,126.923531,10
마포구,112,112. 극동방송국 앞,37.549202,126.923203,10
마포구,113,113. 홍대입구역 2번출구 앞,37.557499,126.923805,25
마포구,114,114. 홍대입구역 8번출구 앞,37.55706,126.924423,15
서대문구,115,115. 사루비아 빌딩 앞,37.558933,126.927116,15
서대문구,116,116. 일진아이윌아파트 옆,37.564541,126.927071,5
서대문구,117,117. 홍은사거리,37.59116,126.94133,25
마포구,118,118. 광흥창역 2번출구 앞,37.547733,126.931763,10
마포구,119,119. 서강나루 공원,37.545284,126.931053,10
마포구,120,120. 신수동 사거리,37.545242,126.934113,5
마포구,121,121. 마포소방서 앞,37.549767,126.933174,15
마포구,122,122. 신성기사식당 앞,37.547249,126.939293,10
서대문구,123,123. 문화촌 공원,37.59433,126.947388,20
마포구,124,124. 서강대 정문 건너편,37.55114,126.936989,20
마포구,125,125. 서강대 남문 옆,37.549484,126.93895,15
마포구,126,126. 서강대 후문 옆,37.550411,126.943848,20
마포구,127,127. 현대벤처빌 앞,37.55352,126.936951,15
서대문구,128,128. 신촌역(2호선) 1번출구 옆,37.555496,126.93634,20
마포구,129,129. 신촌역(2호선) 6번출구 옆,37.555054,126.937569,15
마포구,130,130. 신촌역(2호선) 7번출구 앞,37.554859,126.936157,10
서대문구,131,131. 증산2교,37.584171,126.911102,23
서대문구,132,132. 창천문화공원,37.556789,126.935883,15
서대문구,133,133. 해담는다리,37.582031,126.908997,15
서대문구,134,134. 연세로 명물길,37.557892,126.93808,8
서대문구,135,명물길 원형무대 앞,37.559101,126.939178,10
마포구,136,136. 대흥동 주민센터,37.556004,126.942299,7
서대문구,137,137. NH농협 신촌지점 앞,37.556812,126.943184,10
서대문구,138,138. 신촌동 제1공영주차장 앞,37.559177,126.934525,10
서대문구,139,139. 연세대 정문 건너편,37.559795,126.934479,13
서대문구,140,140. 이화여대 후문,37.560009,126.940735,20
서대문구,141,141. 연대 대운동장 옆,37.562382,126.932648,20
마포구,142,142. 아현역 4번출구 앞,37.557201,126.955666,11
마포구,143,143. 공덕역 2번출구,37.544579,126.950218,9
마포구,144,144. 공덕역 8번출구,37.543579,126.951324,10
마포구,145,145. 공덕역 5번출구,37.54425,126.951637,9
마포구,146,146. 마포역 1번출구 뒤,37.539936,126.945824,12
마포구,147,147. 마포역 4번출구 뒤,37.539272,126.945915,7
마포구,148,148. 용강동 주민센터 앞,37.542347,126.943024,11
마포구,150,150. 서강대역 2번출구 앞,37.552956,126.934341,15
마포구,151,151. 망원1동주민센터,37.555687,126.905548,10
마포구,152,152. 마포구민체육센터 앞,37.55661,126.898018,30
마포구,153,153. 성산2교 사거리,37.564697,126.912613,12
마포구,154,154. 마포구청역,37.560909,126.905495,13
마포구,155,155. 가좌역1 번출구 뒤,37.56855,126.914513,15
마포구,156,156. 서울서부지방법원 앞,37.549904,126.955147,10
마포구,157,157. 애오개역 4번출구 앞,37.553001,126.956688,12
서대문구,158,158. 독립문 어린이 공원,37.571259,126.96048,15
서대문구,159,159. 이대역 4번 출구,37.556953,126.946342,7
서대문구,160,160. 북아현동 가구거리,37.557549,126.959381,20
서대문구,161,161. 무악재역1번 출구,37.582245,126.950645,8
서대문구,162,162. 봉원고가차도 밑,37.565269,126.946243,15
서대문구,163,163. 명지전문대학교 정문 앞,37.583698,126.924965,7
서대문구,164,164. 북가좌1동 주민센터 ,37.574478,126.910049,10
서대문구,165,165. 중앙근린공원,37.575138,126.91394,20
서대문구,166,166. 가재울 초등학교,37.573277,126.919678,20
서대문구,167,167. 연가초등학교 옆,37.57946,126.91713,15
서대문구,168,168. 남가좌동 사거리,37.574821,126.918053,20
서대문구,169,169. 북가좌 삼거리,37.573002,126.907799,15
서대문구,170,170. 가재울 뉴타운 주유소 옆,37.573112,126.922447,10
서대문구,171,임광빌딩 앞,37.562134,126.969254,10
서대문구,172,172. 서대문소방서,37.573254,126.935722,8
서대문구,173,173. 서대문역 8번출구 앞,37.564777,126.966148,8
서대문구,174,174. 명지대학교 학생회관,37.580589,126.923447,10
서대문구,175,175. 홍연2교옆,37.578072,126.930817,20
서대문구,176,176. 명지대학교 도서관,37.581097,126.924026,10
서대문구,177,177. 북가좌 초등학교,37.577675,126.909805,8
서대문구,178,178. 증산3교 앞,37.579876,126.906349,10
서대문구,179,179. 가좌역 4번출구 앞,37.569122,126.914795,15
서대문구,180,180. 충정로역 7번출구 뒤,37.559967,126.962463,10
마포구,181,181. 망원초록길 입구,37.551342,126.902672,15
마포구,182,182. 망원2빗물펌프장 앞,37.551567,126.902847,10
마포구,183,183. 하늘채코오롱아파트 건너편,37.565166,126.919395,15
마포구,184,184. SK망원동주유소 건너편,37.558949,126.907753,9
마포구,185,185. 마포 신수공원 앞,37.542545,126.934296,15
마포구,186,186. 월드컵공원,37.563965,126.898209,40
서대문구,188,188. 홍은동 정원여중 입구,37.586388,126.935127,10
서대문구,191,191. 정명학원,37.578892,126.910736,10
서대문구,192,192. 연서어린이공원,37.572227,126.923065,10
서대문구,194,194. 증산교 앞,37.577316,126.902969,10
서대문구,195,195. 모래내고가차도 ,37.567657,126.917809,10
서대문구,196,196. 연희교차로 인근,37.56612,126.925896,10
서대문구,198,198. 충정2교,37.562138,126.963776,15
마포구,199,199. 서울 월드컵 경기장,37.566845,126.896446,30
영등포구,200,200. 국회의원회관,37.528728,126.914925,20
영등포구,201,201. 진미파라곤 앞,37.531239,126.921333,15
영등포구,202,202. 국민일보 앞,37.528816,126.92453,30
영등포구,203,203. 국회의사당역 3번출구 옆,37.528057,126.918701,15
영등포구,204,204. 국회의사당역 5번출구 옆,37.528164,126.917023,13
영등포구,205,205. 산업은행 앞,37.526264,126.920509,20
영등포구,206,206. KBS 앞,37.524666,126.918022,35
영등포구,207,207. 여의나루역 1번출구 앞,37.526989,126.932098,40
영등포구,209,209. 유진투자증권빌딩 앞,37.524612,126.927834,12
영등포구,210,210. IFC몰,37.526066,126.925537,21
영등포구,211,211. 여의도역 4번출구 옆,37.522228,126.924637,13
영등포구,212,212. 여의도역 1번출구 옆,37.521362,126.923462,35
영등포구,213,213. KT앞,37.521908,126.918953,15
영등포구,214,214. 금융감독원 앞,37.523022,126.920837,20
영등포구,215,215. 여의도고교 앞,37.524837,126.934906,10
영등포구,216,216. 삼부아파트1동 앞,37.523491,126.932899,10
영등포구,217,217. NH농협은행 앞,37.522079,126.930367,10
영등포구,218,218. 증권거래소 앞,37.523277,126.929237,20
영등포구,219,219. 롯데캐슬엠파이어 옆,37.520695,126.925835,12
영등포구,220,220. 미성아파트 A동 앞,37.519363,126.926048,30
영등포구,221,221. 여의도초교 앞,37.522675,126.93779,10
영등포구,222,222. 시범아파트버스정류장 옆,37.520271,126.938881,12
영등포구,223,223. 진주아파트상가 앞,37.519314,126.933167,20
영등포구,224,224. 롯데캐슬 앞,37.520088,126.932365,20
영등포구,225,225. 앙카라공원 앞,37.517368,126.929253,26
영등포구,226,226. 샛강역 1번출구 앞,37.517765,126.928413,20
영등포구,227,227. 양평2나들목 보행통로 입구,37.544666,126.888359,10
