YrPlayer,Year,Rank,Player,Team,AVG,G,PA,AB,H,1B,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,E,SF,SH,IBB,TB,OBP,SLG,OPS,ISO,SECA,TA,RC,RC/27,wOBA,XR
2000박종호 ,2000,1,박종호 ,현대 ,0.34,121,541,441,150,107,30,3,10,58,9,5,61,12,47,4,16,7,20,0,216,0.428023033,0.489795918,0.917818951,0.149659864,0.297052154,0.976666667,100.3545287,8.286153742,0.400138196,92.804
2000김동주 ,2000,2,김동주 ,두산 ,0.339,127,539,469,159,98,29,1,31,106,5,2,51,13,65,17,17,6,0,1,283,0.413729128,0.603411514,1.017140642,0.264392324,0.379530917,1.063829787,115.4738404,9.306846842,0.431992565,105
2000브리또 ,2000,3,브리또 ,SK ,0.338,103,452,405,137,92,26,4,15,70,3,2,31,11,55,8,12,2,3,2,216,0.398663697,0.533333333,0.93199703,0.195061728,0.274074074,0.931654676,86.20495575,8.224501079,0.40096868,77.82
2000송지만 ,2000,4,송지만 ,한화 ,0.338,120,530,468,158,91,33,2,32,90,20,7,52,7,72,10,5,3,0,2,291,0.409433962,0.621794872,1.031228834,0.284188034,0.423076923,1.110091743,119.9169811,9.811389365,0.4366875,107.594
2000데이비스 ,2000,5,데이비스 ,한화 ,0.334,107,458,419,140,88,29,1,22,80,21,7,25,2,92,15,8,9,3,1,237,0.367032967,0.565632458,0.932665425,0.23150358,0.324582339,0.92358804,82.60567686,7.125729313,0.394585903,80.284
2000프랑코 ,2000,6,프랑코 ,삼성 ,0.327,132,549,477,156,114,19,1,22,110,12,5,63,2,86,11,7,7,0,5,243,0.402550091,0.509433962,0.911984053,0.182389937,0.329140461,0.934718101,100.2520947,7.868623713,0.391636029,94.552
2000장성호 ,2000,7,장성호 ,해태 ,0.324,115,546,450,146,101,30,1,14,48,6,5,88,3,57,7,3,3,2,4,220,0.435661765,0.488888889,0.924550654,0.164444444,0.362222222,0.987341772,102.3379121,8.607861764,0.40297963,94.144
2000장원진 ,2000,8,장원진 ,두산 ,0.323,133,579,527,170,131,27,5,7,59,10,4,43,3,37,12,3,5,1,0,228,0.373702422,0.432637571,0.806339993,0.110056926,0.203036053,0.750670241,85.76165803,6.109669569,0.352929066,81.404
2000이병규 ,2000,8,이병규 ,LG ,0.323,129,595,527,170,123,28,1,18,99,14,8,52,5,91,15,2,9,2,4,254,0.382799325,0.481973435,0.86477276,0.159392789,0.269449715,0.834210526,96.26742857,6.647622945,0.372398981,92.602
2000이영우 ,2000,10,이영우 ,한화 ,0.318,128,542,478,152,86,36,5,25,64,7,12,52,8,91,5,3,3,1,5,273,0.391866913,0.571129707,0.96299662,0.253138075,0.351464435,0.956268222,105.4223247,8.20288982,0.408477612,96.722
2000우즈 ,2000,11,우즈 ,두산 ,0.315,127,565,479,151,90,22,0,39,111,4,1,77,6,132,13,2,3,0,5,290,0.414159292,0.605427975,1.019587267,0.290187891,0.457202505,1.099415205,122.2343363,9.566165448,0.431357143,110.894
2000양준혁 ,2000,12,양준혁 ,LG ,0.313,117,514,432,135,88,30,2,15,92,15,4,73,5,65,6,3,3,0,4,214,0.415204678,0.49537037,0.910575049,0.18287037,0.377314815,0.986970684,95.99961014,8.361256367,0.394591356,88.5
2000박재홍 ,2000,13,박재홍 ,현대 ,0.309,132,572,489,151,83,31,5,32,115,30,14,64,7,77,15,2,12,0,5,288,0.388111888,0.588957055,0.977068943,0.280163599,0.443762781,1.021798365,110.3339161,7.860199827,0.409141093,107.564
2000김재현 ,2000,14,김재현 ,LG ,0.308,131,560,464,143,98,32,2,11,62,6,6,81,7,73,11,6,5,3,5,212,0.414721724,0.456896552,0.871618275,0.148706897,0.323275862,0.887573964,92.04292857,7.182540669,0.380887681,87.016
2000심정수 ,2000,15,심정수 ,두산 ,0.304,126,542,454,138,86,21,2,29,91,3,0,69,10,67,12,6,9,0,1,250,0.400369004,0.550660793,0.951029797,0.246696035,0.405286344,1.012195122,104.5878229,8.379439815,0.405724584,99.184
2000로마이어 ,2000,16,로마이어 ,한화 ,0.296,123,534,473,140,81,30,0,29,96,3,2,53,4,115,19,9,4,0,2,257,0.368913858,0.543340381,0.912254238,0.247357294,0.361522199,0.889830508,90.61692884,6.83423765,0.389332707,86.52
2000마해영 ,2000,17,마해영 ,롯데 ,0.294,132,569,497,146,97,25,1,23,90,2,1,51,18,75,10,8,3,0,2,242,0.377855888,0.486921529,0.864777417,0.193158954,0.29778672,0.861878453,93.94038664,6.949014902,0.375582011,89.2
2000이승엽 ,2000,18,이승엽 ,삼성 ,0.293,125,544,454,133,64,33,0,36,95,4,5,80,7,113,5,2,3,0,7,274,0.404411765,0.603524229,1.007935994,0.310572687,0.484581498,1.087613293,115.2066176,9.31310981,0.423914339,105.136
2000홍성흔 ,2000,19,홍성흔 ,두산 ,0.29,127,484,438,127,102,13,2,10,59,10,3,32,3,50,12,10,4,7,2,174,0.339622642,0.397260274,0.736882915,0.107305936,0.196347032,0.662576687,58.7696281,4.708545871,0.322465263,58.33
2000정경배 ,2000,20,정경배 ,삼성 ,0.289,102,426,374,108,70,25,1,12,38,5,4,33,9,71,5,7,3,7,0,171,0.357995227,0.457219251,0.815214478,0.168449198,0.259358289,0.778181818,62.79464789,5.948966642,0.355357995,60.252
