YrPlayer,Year,Rank,Player,Team,AVG,G,PA,AB,R,H,1B,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,SB,CS,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,ISO,SECA,TA,RC,RC/27,wOBA,XR
2002장성호,2002,1,장성호,KIA ,0.343,133,586,481,82,165,117,29,0,19,251,95,2,8,86,14,7,3,9,53,15,0.522,0.445,0.967,48,0.365,0,0.178794179,0.365904366,1.047904192,116.0030717,9.104892253,0.412689474,106.706
2002마해영,2002,2,마해영,삼성 ,0.323,133,596,532,92,172,97,40,2,33,315,116,0,6,46,5,2,0,12,74,14,0.592,0.386,0.978,53,0.313,0,0.268796992,0.359022556,1.002673797,120.6628188,8.573410809,0.413067682,110.578
2002이승엽,2002,3,이승엽,삼성 ,0.323,133,617,511,123,165,74,42,2,47,352,126,0,2,89,5,1,2,15,109,11,0.689,0.436,1.125,47,0.331,0,0.365949119,0.53816047,1.267409471,157.3756888,11.77048088,0.468947712,136.108
2002심정수,2002,4,심정수,현대 ,0.321,133,577,502,101,161,92,22,1,46,323,119,0,3,69,10,2,1,3,114,13,0.643,0.404,1.047,47,0.338,0,0.322709163,0.462151394,1.115492958,129.6996187,9.781814819,0.437703704,117.438
2002김동주,2002,5,김동주,두산 ,0.318,120,487,415,63,132,85,21,0,26,231,79,0,7,52,2,1,1,13,61,8,0.557,0.405,0.962,32,0.283,0.25,0.238554217,0.363855422,1.01369863,97.10373717,8.768564895,0.410270103,90.512
2002이영우,2002,6,이영우,한화 ,0.315,133,564,476,96,150,99,26,1,24,250,52,7,0,73,6,13,12,8,103,14,0.525,0.415,0.94,43,0.321,0.167,0.210084034,0.365546218,0.943181818,101.7367021,7.651506845,0.405183303,94.256
2002김한수,2002,7,김한수,삼성 ,0.311,127,541,486,69,151,110,23,1,17,227,76,2,4,35,2,4,2,14,61,15,0.467,0.371,0.838,44,0.287,0,0.156378601,0.232510288,0.789772727,82.6781146,6.235500263,0.36432216,79.012
2002이진영,2002,8,이진영,SK ,0.308,128,475,419,73,129,86,22,8,13,206,40,6,3,42,3,11,12,5,57,7,0.492,0.375,0.867,36,0.193,0.5,0.183770883,0.281622912,0.815533981,75.30711579,6.394000397,0.372821888,71.934
2002전준호,2002,9,전준호,현대 ,0.3,126,501,420,83,126,100,15,8,3,166,28,14,1,53,1,26,11,13,51,2,0.395,0.394,0.789,32,0.278,0,0.095238095,0.257142857,0.804560261,72.96483034,6.118169004,0.35286214,70.272
2002이병규,2002,10,이병규,LG ,0.293,109,444,389,54,114,77,25,0,12,175,43,1,2,50,12,9,6,2,57,6,0.45,0.375,0.825,30,0.253,0,0.156812339,0.293059126,0.801393728,66.46972973,6.188561044,0.352415313,63.434
2002이종범,2002,11,이종범,KIA ,0.293,123,546,485,93,142,97,25,2,18,225,59,4,1,43,5,35,5,13,63,7,0.464,0.365,0.829,41,0.337,0,0.171134021,0.321649485,0.876056338,88.25120879,6.618840659,0.35949162,84.356
2002송지만,2002,12,송지만,한화 ,0.291,131,557,488,84,142,84,18,2,38,278,104,0,2,58,4,8,3,9,136,14,0.57,0.375,0.945,37,0.295,0,0.278688525,0.407786885,0.964187328,103.2663555,7.63888109,0.401598553,97.992
2002채종범,2002,13,채종범,SK ,0.291,127,557,478,79,139,101,19,2,17,213,68,11,3,47,1,10,9,18,70,17,0.446,0.374,0.82,38,0.377,0,0.154811715,0.255230126,0.764383562,77.3740754,5.512137298,0.359855046,75.86
2002홍성흔,2002,14,홍성흔,두산 ,0.289,127,484,432,51,125,90,17,0,18,196,70,7,3,37,1,5,3,5,63,17,0.454,0.35,0.804,32,0.321,0,0.164351852,0.25462963,0.733944954,65.13557851,5.218577507,0.349703782,64.256
2002이호준,2002,15,이호준,SK ,0.288,129,499,444,76,128,79,24,2,23,225,64,4,2,45,3,5,3,4,75,12,0.507,0.358,0.865,34,0.291,0.286,0.218468468,0.324324324,0.833836858,78.78589178,6.312222784,0.370800813,75.73
2002안경현,2002,16,안경현,두산 ,0.288,130,548,486,50,140,104,24,4,8,196,58,7,6,44,0,5,4,5,65,13,0.403,0.349,0.752,40,0.244,0,0.115226337,0.20781893,0.67768595,68.45474453,4.915633251,0.330783734,67.27
2002박용택,2002,17,박용택,LG ,0.288,112,424,375,68,108,65,28,6,9,175,55,1,4,38,1,20,5,6,109,11,0.467,0.359,0.826,31,0.317,0.5,0.178666667,0.32,0.826855124,63.88792453,5.989492925,0.356954976,61.278
2002강동우,2002,18,강동우,삼성 ,0.288,130,521,466,75,134,99,23,3,9,190,49,7,1,46,0,11,6,1,76,9,0.408,0.352,0.76,36,0.33,0,0.120171674,0.229613734,0.69740634,67.57888676,5.139802655,0.335089494,65.012
2002데이비스,2002,19,데이비스,한화 ,0.287,115,456,404,56,116,71,23,1,21,204,72,0,2,46,5,14,9,4,97,6,0.505,0.364,0.869,29,0.265,0.2,0.217821782,0.344059406,0.854785479,74.1820614,6.566936583,0.371851441,71.354
2002김종국,2002,20,김종국,KIA ,0.287,133,595,527,95,151,114,26,3,8,207,53,3,1,61,0,50,9,3,116,5,0.393,0.363,0.756,41,0.298,1,0.10626186,0.299810247,0.8,85.03482353,5.82725948,0.336179054,82.112
2002최기문,2002,21,최기문,롯데 ,0.285,123,415,383,34,109,75,22,4,8,163,50,2,0,27,5,1,4,3,44,9,0.426,0.337,0.763,23,0.292,0,0.140992167,0.203655352,0.662020906,51.93628916,4.852179264,0.328818627,49.408
2002이숭용,2002,22,이숭용,현대 ,0.284,125,480,422,63,120,81,18,2,19,199,76,4,2,40,2,7,2,12,54,11,0.472,0.361,0.833,31,0.287,0,0.187203791,0.293838863,0.812698413,72.46425,6.095123832,0.361687764,70.238
2002김응국,2002,23,김응국,롯데 ,0.284,116,412,373,35,106,85,15,3,3,136,49,2,1,34,2,12,5,2,58,8,0.365,0.346,0.711,24,0.291,0.3,0.080428954,0.190348525,0.639285714,47.79262136,4.559720059,0.314960784,46.356
2002브리또,2002,24,브리또,삼성 ,0.283,128,545,481,89,136,82,29,0,25,240,90,4,4,35,3,1,2,21,84,10,0.499,0.355,0.854,40,0.286,0,0.216216216,0.286902287,0.826330532,85.36293578,6.314518537,0.367407063,82.408
2002진갑용,2002,25,진갑용,삼성 ,0.281,133,517,462,58,130,82,29,1,18,215,86,1,5,41,4,0,0,8,56,13,0.465,0.347,0.812,34,0.358,0,0.183982684,0.272727273,0.765217391,73.79133462,5.676256509,0.349455078,71.892
2002페르난데스,2002,26,페르난데스,SK ,0.281,132,556,499,81,140,71,24,0,45,299,107,0,1,49,2,4,4,7,114,8,0.599,0.353,0.952,42,0.303,0,0.318637275,0.416833667,0.956873315,104.4564029,7.581513112,0.402658845,100.068
2002폴,2002,27,폴,현대 ,0.28,113,441,397,48,111,73,18,2,18,187,64,1,2,35,1,3,2,6,115,11,0.471,0.345,0.816,26,0.257,0.25,0.191435768,0.282115869,0.765886288,63.20244898,5.650550074,0.353562642,61.26
2002마르티네스,2002,28,마르티네스,LG ,0.279,109,468,409,59,114,79,19,1,15,180,69,0,6,49,7,22,12,4,70,5,0.44,0.357,0.797,34,0.301,0,0.161369193,0.305623472,0.778846154,66.19230769,5.620101597,0.342932755,66.59
2002박재홍,2002,29,박재홍,현대 ,0.278,112,481,432,57,120,81,24,0,15,189,67,0,4,41,2,12,8,4,94,10,0.438,0.343,0.781,38,0.309,0.667,0.159722222,0.263888889,0.721212121,63.72037422,5.151048215,0.339204593,63.048
2002양준혁,2002,30,양준혁,삼성 ,0.276,132,437,391,60,108,69,23,2,14,177,50,0,1,39,3,2,3,5,56,9,0.453,0.349,0.802,27,0.237,0.214,0.176470588,0.273657289,0.745762712,60.7587156,5.542180139,0.347323326,58.512
2002장원진,2002,31,장원진,두산 ,0.275,130,488,444,55,122,106,12,3,1,143,30,7,3,31,0,2,2,3,65,10,0.322,0.324,0.646,30,0.19,0.375,0.047297297,0.117117117,0.52994012,46.64655738,3.661212352,0.289422037,45.67
2002박한이,2002,32,박한이,삼성 ,0.272,133,586,504,89,137,101,24,2,10,195,47,14,2,60,3,13,12,6,79,15,0.387,0.355,0.742,39,0.242,0,0.115079365,0.236111111,0.664974619,68.0152901,4.47905569,0.328536028,67.018
2002박종호,2002,33,박종호,현대 ,0.266,108,468,402,58,107,83,15,2,7,147,53,29,1,25,0,4,4,11,42,4,0.366,0.326,0.692,28,0.347,1,0.099502488,0.161691542,0.603960396,50.20384615,4.070582121,0.307599089,49.304
2002김민재,2002,34,김민재,SK ,0.258,131,548,488,51,126,90,21,3,12,189,50,19,4,26,0,15,10,11,45,13,0.387,0.308,0.695,35,0.202,0,0.129098361,0.192622951,0.6,55.79051095,3.692019107,0.304990548,57.09
2002홍세완,2002,35,홍세완,KIA ,0.257,111,449,401,43,103,70,21,0,12,160,69,8,4,30,2,7,5,6,68,10,0.399,0.315,0.714,25,0.265,0,0.142144638,0.221945137,0.632587859,49.35697105,4.100425287,0.31128246,49.856
2002우즈,2002,36,우즈,두산 ,0.256,119,469,407,53,104,58,18,3,25,203,82,0,7,50,3,5,2,5,123,11,0.499,0.339,0.838,24,0.32,0,0.243243243,0.373464373,0.825949367,69.34533049,5.796668493,0.356682403,70.036
2002심재학,2002,37,심재학,두산 ,0.245,119,463,383,56,94,60,16,3,15,161,57,0,7,67,4,2,1,6,55,11,0.42,0.361,0.781,17,0.267,0.333,0.174934726,0.352480418,0.780730897,61.47105832,5.388696671,0.341320261,62.81
2002정수근,2002,38,정수근,두산 ,0.235,122,482,426,58,100,86,9,2,3,122,22,8,1,44,2,40,14,3,51,8,0.286,0.31,0.596,25,0.204,0,0.051643192,0.215962441,0.560344828,41.28112033,3.122101538,0.270942797,42.382
2002임수민,2002,39,임수민,한화 ,0.227,127,427,366,55,83,56,16,1,10,131,35,11,2,40,0,3,6,7,78,10,0.358,0.313,0.671,19,0.221,0.25,0.131147541,0.232240437,0.585284281,40.55295775,3.509390574,0.299959036,40.946
2002박진만,2002,40,박진만,현대 ,0.219,126,466,401,47,88,52,24,0,12,148,57,9,4,47,2,2,5,5,85,6,0.369,0.306,0.675,18,0.206,0,0.149625935,0.259351621,0.608024691,46.727897,3.743778098,0.297883516,47.59
2003김동주,2003,1,김동주,두산,0.342,118,504,401,61,137,89,23,2,23,233,89,0,13,79,8,3,2,11,53,15,0.581,0.45,1.031,39,0.387,0.5,0.239401496,0.438902743,1.153024911,109.4333333,10.05,0.433689516,101.116
2003심정수,2003,2,심정수,현대,0.335,133,601,460,110,154,84,16,1,53,331,142,0,8,124,17,6,2,9,63,14,0.72,0.478,1.198,45,0.346,0,0.384782609,0.663043478,1.453416149,166.1351747,13.59287793,0.488818493,144.746
2003안경현,2003,3,안경현,두산,0.333,128,539,475,65,158,117,28,3,10,222,72,6,5,48,2,1,1,5,43,21,0.467,0.396,0.863,45,0.328,0,0.134736842,0.235789474,0.81120944,84.68181818,6.532597403,0.375478343,79.326
2003양준혁,2003,4,양준혁,삼성,0.329,133,551,490,90,161,89,37,2,33,301,92,4,2,49,2,2,5,6,49,13,0.614,0.395,1.009,48,0.354,0,0.285714286,0.379591837,1.017291066,114.6100181,8.766205354,0.427695413,104.108
2003이진영,2003,5,이진영,SK,0.328,128,562,481,81,158,106,29,6,17,250,70,13,2,62,1,10,9,4,76,6,0.52,0.408,0.928,45,0.364,0,0.191268191,0.322245322,0.937869822,104.0909253,7.961628845,0.400985401,95.232
2003박한이,2003,6,박한이,삼성,0.322,133,612,528,113,170,123,34,1,12,242,59,8,5,63,1,17,7,8,55,7,0.458,0.399,0.857,53,0.314,0,0.136363636,0.274621212,0.86827957,102.298366,7.174171123,0.37541791,96.09
2003김태균,2003,7,김태균,한화,0.319,133,573,479,67,153,96,24,2,31,274,95,4,2,79,6,3,2,9,106,13,0.572,0.424,0.996,41,0.343,0,0.252609603,0.419624217,1.064516129,118.3246073,9.206813827,0.424435169,107.182
2003장성호,2003,8,장성호,KIA,0.315,130,571,476,93,150,91,36,2,21,253,105,3,5,84,7,13,4,3,52,7,0.532,0.417,0.949,38,0.348,0,0.216386555,0.411764706,1.035608309,112.6912785,8.819317445,0.405477718,103.374
2003이종범,2003,9,이종범,KIA,0.315,132,595,524,110,165,101,43,1,20,270,61,1,4,59,5,50,10,7,58,8,0.515,0.389,0.904,48,0.337,0,0.200381679,0.389312977,0.99734748,112.571395,7.956616921,0.387870968,104.876
2003김동수,2003,10,김동수,현대,0.308,117,441,367,48,113,81,15,1,16,178,68,15,6,45,5,3,4,8,57,10,0.485,0.39,0.875,29,0.35,0.286,0.177111717,0.297002725,0.858208955,69.95446712,6.535538451,0.37623753,68.014
