YrPlayer,Year,Rank,Player,Team,AVG,G,PA,AB,R,H,1B,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,SB,CS,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,ISO,SECA,TA,RC,RC/27,wOBA,XR
2014서건창,2014,1,서건창,넥센,0.37,128,616,543,135,201,136,41,17,7,297,67,4,2,59,0,48,17,8,47,1,0.547,0.438,0.985,66,0.39,0,0.17679558,0.342541436,1.097222222,139.0016234,10.25421812,0.424498366,120.634
2014김태균,2014,2,김태균,한화,0.365,118,508,422,66,154,106,30,0,18,238,84,0,5,70,1,0,2,11,73,18,0.564,0.463,1.027,44,0.354,0,0.199052133,0.360189573,1.100694444,110.6318898,10.19474752,0.441970414,97.816
2014손아섭,2014,3,손아섭,롯데,0.362,122,570,483,105,175,129,25,3,18,260,80,0,2,80,7,10,3,5,78,7,0.538,0.456,0.994,54,0.336,0,0.175983437,0.35610766,1.106918239,125.6666667,10.603125,0.428662522,110.456
2014강정호,2014,4,강정호,넥센,0.356,117,501,418,103,149,71,36,2,40,309,117,0,2,68,2,3,3,13,106,8,0.739,0.459,1.198,50,0.361,0,0.38277512,0.545454545,1.392857143,145.1869461,13.90087782,0.498024048,120.762
2014최형우,2014,5,최형우,삼성,0.356,113,493,430,92,153,89,33,0,31,279,100,0,6,50,1,4,2,7,62,11,0.649,0.426,1.075,44,0.32,0,0.293023256,0.413953488,1.165517241,119.3827992,10.88964722,0.45298374,104.994
2014김주찬,2014,6,김주찬,KIA,0.346,100,442,399,72,138,93,32,4,9,205,46,6,2,31,2,22,10,4,48,11,0.514,0.397,0.911,46,0.326,0.25,0.167919799,0.275689223,0.893617021,78.81303167,7.337765018,0.392297235,72.176
2014민병헌,2014,7,민병헌,두산,0.345,124,527,470,85,162,116,31,3,12,235,79,8,6,37,0,16,8,6,63,11,0.5,0.395,0.895,48,0.36,0.5,0.155319149,0.25106383,0.874617737,92.39294118,7.315570122,0.387061657,85.906
2014테임즈,2014,8,테임즈,NC,0.343,125,514,443,95,152,79,30,6,37,305,121,0,6,58,5,11,2,7,99,6,0.688,0.422,1.11,40,0.388,0.5,0.34537246,0.496613995,1.267558528,133.9551751,11.85832698,0.461546169,116.628
2014박용택,2014,9,박용택,LG,0.343,124,549,464,71,159,124,24,2,9,214,73,2,7,75,3,11,9,1,65,15,0.461,0.43,0.891,49,0.398,0.5,0.118534483,0.284482759,0.887537994,93.53948998,7.472089436,0.389643382,88.14
2014안치홍,2014,10,안치홍,KIA,0.339,126,479,434,65,147,96,31,2,18,236,88,2,4,33,1,19,6,6,65,11,0.544,0.39,0.934,41,0.338,0.2,0.205069124,0.311059908,0.947368421,91.33762004,7.955212068,0.400220588,84.13
2014이재원,2014,11,이재원,SK,0.337,120,484,412,48,139,95,30,2,12,209,83,0,11,49,7,3,0,12,66,14,0.507,0.413,0.92,39,0.336,0.444,0.169902913,0.296116505,0.951219512,88.51140496,8.019489711,0.392574423,82.902
2014박한이,2014,12,박한이,삼성,0.331,125,567,472,83,156,123,22,2,9,209,80,24,5,61,1,7,6,5,74,9,0.443,0.409,0.852,41,0.385,1,0.112288136,0.243644068,0.833836858,89.30571429,6.697928571,0.374841328,84.518
2014나성범,2014,13,나성범,NC,0.329,123,536,477,88,157,94,28,5,30,285,101,1,1,42,2,14,5,15,128,4,0.597,0.4,0.997,42,0.39,0.333,0.268343816,0.375262055,1.066869301,117.6531716,9.597086509,0.424891182,104.786
2014정성훈,2014,14,정성훈,LG,0.329,112,455,383,71,126,87,25,1,13,192,59,2,4,59,2,10,2,7,56,13,0.501,0.424,0.925,34,0.259,0.333,0.17232376,0.347258486,0.977941176,84.39982418,8.197105226,0.40159867,77.852
2014피에,2014,15,피에,한화,0.326,119,498,445,61,145,93,33,2,17,233,92,0,12,41,1,9,11,0,60,11,0.524,0.373,0.897,44,0.315,0,0.197752809,0.285393258,0.844720497,83.75196787,6.77036866,0.381297787,81.66
2014이진영,2014,16,이진영,LG,0.325,119,468,412,53,134,107,19,2,6,175,65,2,9,45,5,4,3,0,48,10,0.425,0.384,0.809,34,0.339,0,0.099514563,0.211165049,0.759450172,68.52820513,6.126693836,0.350639913,66.816
2014이대형,2014,17,이대형,KIA,0.323,126,505,461,75,149,124,15,9,1,185,40,5,2,35,2,22,15,2,57,5,0.401,0.372,0.773,47,0.298,0.75,0.078091106,0.169197397,0.689759036,68.76015842,5.476472794,0.339584337,65.714
2014김현수,2014,18,김현수,두산,0.322,125,528,463,75,149,106,26,0,17,226,90,0,5,53,5,2,0,7,45,10,0.488,0.396,0.884,42,0.316,0,0.166306695,0.285097192,0.888888889,91.93950758,7.545187552,0.381632887,86.04
2014황재균,2014,19,황재균,롯데,0.321,128,550,486,66,156,108,33,3,12,231,76,4,4,53,0,17,10,3,86,8,0.475,0.388,0.863,48,0.343,0,0.154320988,0.277777778,0.844827586,91.20116364,6.916942186,0.375855311,85.352
2014오재원,2014,20,오재원,두산,0.318,110,420,359,60,114,82,21,6,5,162,40,9,0,50,2,33,7,2,61,7,0.451,0.404,0.855,28,0.223,0.25,0.133704735,0.3454039,0.926640927,71.23733333,7.176895522,0.37492665,65.992
